EOS #,M[M_sun],R[km],Pc[dyne cm^-2],nc[fm^-3],nq_max[fm^-3]
00001,1.4119954238888095,13.199237684628953,1.2485479025736339e+35,1.1674051629774855,1.166806941446291
00002,0.4078034993586967,17.465853234820273,1.078849913821682e+34,0.31369219417112026,0.047581420240644406
00003,2.1631047091387345,15.663644080689513,1.4293536356437141e+35,0.3937891312130526,0.0018400009121200375
00004,0.6997128460194135,13.539366946479538,1.5201185721507418e+34,0.4621902592508476,0.18908416746623158
00005,0.29264987143405297,15.465350472117176,1.220096260080185e+34,0.41571990357596006,0.105113364490043
00006,0.32108277630289633,15.942104869705188,6.86875273148532e+33,0.18813677722921374,0.0023554162552002073
00007,1.9443353621021136,9.962191452616302,1.1836527250678758e+36,1.6000000000000005,0.6497453289939856
00008,2.452462443419105,13.314393270972529,4.743895375311355e+35,0.7572023653861765,0.22286649891207205
00009,2.5776753141599302,13.97806911258289,4.510596803473919e+35,0.9785123032228075,0.9778822948526366
00011,1.589693131961805,9.211801820929756,9.011744860081476e+35,1.6000000000000019,0.7111056639944727
00012,0.24753854623672067,28.265478367435858,2.109031875009275e+33,0.1955345124060567,0.1954216096171195
00013,2.6227362774424985,13.516109725426997,4.398995396604322e+35,0.7051266551919928,0.24146413523790553
00015,0.9708960966824322,16.747473116148004,2.6380305264998477e+34,0.39376509945442634,0.1481577442223262
00016,0.3878255311530158,1533.3123391403844,1.269344809009387e+33,0.1765315950532297,7.057543946029147e-05
00017,0.589690649334376,18.129002466775056,1.1066158746098046e+34,0.2698007141358952,0.0780795759836458
00018,2.448626793499256,12.693425518590193,5.439284514931876e+35,0.6601974574199128,0.0002639398668207151
00019,0.5361331268196616,11.067078214396549,5.127302337298192e+34,0.9069505816893,0.5325148740835899
00020,2.3903578406858705,14.255397819794482,2.330544280193138e+35,1.3927215293098705,1.3921471850508047
00021,1.5193096448123768,11.476371866148943,1.787094504902968e+35,0.6132487469531402,0.013789302743437624
00022,2.3819877511246004,12.449701672897012,6.161239981713938e+35,0.7307658493942771,0.01227210411102799
00025,2.4796198634866395,13.33560094625635,5.6254981440836904e+35,0.6601974574199128,0.0002639398668207151
00026,0.16097149055605892,1100.4393325208266,1.389914454075807e+33,0.17296480501831044,6.914947503679682e-05
00027,1.5686271673131602,10.082774667212028,4.1885081838332026e+35,0.8867936184241375,0.0006501415995459331
00028,2.668171497496691,14.850804208193825,2.671653773992895e+35,0.5371911538435143,0.20661908188998365
00029,2.459395196574348,13.021671486637317,4.452405765794575e+35,0.7107755941241366,0.2030043438516868
00030,2.375102772847664,12.810028786645303,4.409599623204505e+35,0.6132487469531408,0.0009726312708664696
00031,0.7999330828714868,12.190181560874528,5.991773473691519e+34,0.4829152205391645,0.00019306432880387346
00034,2.422064458804772,13.594307426566495,4.3072639070525694e+35,0.6132487469531408,0.0035814585914791582
00035,2.0271751309807047,11.291065162226523,6.89904351167728e+35,0.8867936184241375,0.0006501415995459331
