EOS #,M[M_sun],R[km],Pc[dyne cm^-2],nc[fm^-3],nq_max[fm^-3]
00001,0.8553579073440705,13.958595041834398,3.950399150529053e+34,0.8332446773864234,0.8327381748436836
00002,1.2221027014649564,12.241078167531063,1.1911170925571357e+35,0.7048103841302523,0.10842534732523428
00003,1.6562999695021996,11.67896256801237,2.9124759661062372e+35,1.0376662169713378,0.3043435343709631
00004,1.148568009012017,12.762940448251001,8.36529836189805e+34,0.9690538363388581,0.43552152811336803
00005,1.7935191465068978,11.306371609686378,4.538014738603165e+35,1.2757557650987952,0.4872953409241129
00006,1.1296983939332945,12.776088754483888,8.39102960907651e+34,0.49150182604860915,0.010995794611739832
00007,1.7086872655991818,11.254383868283853,3.7159543812788145e+35,1.1257478490200887,0.3039434438873274
00008,1.348485344174904,12.12433242302524,1.6344152185893496e+35,0.8781279614180775,0.3378420562361374
00009,1.6958400225647514,10.99228906751835,5.292838947645481e+35,1.0970239564067734,0.4080723343177112
00010,1.0061936498029602,13.536048162462018,6.024548999294002e+34,0.7458263726849453,0.3438189787020802
00011,1.1552292911879385,13.016223968842214,8.30675468912379e+34,0.48594686512555435,0.011445577263167543
00012,1.1953879524859874,12.89734640869321,1.0050143804503275e+35,0.7836077502459836,0.26466071053810986
00013,0.9211600509092188,12.947327040114667,4.343376351842501e+34,0.9670437987252339,0.44914037606401824
00014,1.5197367184769286,11.97604781052002,1.99291891409678e+35,0.6446672839646415,0.006049109251558126
00015,1.0457792176282528,13.13172393185658,7.480383824138961e+34,1.1473816378205057,1.1467751704625795
00016,1.6256653015507803,11.879867173951673,2.647402435633524e+35,0.9618124264753073,0.26309669820375264
00017,1.4953064334601804,11.844239683048807,2.1157836329416732e+35,0.9089539388600215,0.26648356531871564
00018,1.6025318302155689,11.902958551556278,2.6920846154495697e+35,0.9389374717534112,0.2513552508564933
00019,0.8135750765166301,13.963337251721754,3.5304255049353335e+34,0.33764124128801326,0.0013066116404484213
00020,1.575929905535128,11.712526159361335,2.424322334185876e+35,0.6931682457831001,0.005347501358671347
00021,0.8444439010624889,13.354193977163826,4.7920419941326675e+34,0.6143372345153466,0.2878294188089331
00022,1.5001081351679433,11.895288799902007,2.2410418660240325e+35,1.2308434188299984,0.8554130158057688
00023,1.2549080839425202,12.21331099789607,1.2210625455554102e+35,0.5648274640775736,0.008296423389890664
00024,1.463297471000837,11.780671417826792,2.1942155689079607e+35,0.9579912054798307,0.2871797409421028
00025,1.3627310396676537,12.25861593721865,1.4631681447915646e+35,0.6088268500646299,0.01418960974332408
00026,1.0497888002502243,13.037868142575734,6.422963521124538e+34,0.8933776658129751,0.41016706734160385
00027,1.4338983799366463,12.03373710766894,1.719596556900495e+35,0.6327774817624798,0.010231297844842877
00028,1.5812573356600872,11.88983146933485,2.414002907190308e+35,0.7107404376270523,0.014507685667378811
00029,1.7994107212581578,11.29800995200753,4.3116047684640624e+35,1.1553732327853148,0.3264811597973382
00030,1.8753887228559,11.177409773695418,5.9715999365181336e+35,1.6000000000000005,1.0168200994669796
00031,1.6654670719163132,11.878459578005376,3.106790271588716e+35,0.9356023626865009,0.25633834605719347
00032,1.2854059547616334,12.293321184847873,1.272475921984223e+35,0.5726502708010774,0.012971979211070286
00033,1.1033488902457813,12.825874669635425,9.215206265116592e+34,0.7602659947074166,0.39376673106131294
