EOS #,n0[fm^-3],Lambda_0[M_N],gamma[1],a[GeV],b[GeV]
00001,0.8772289312358968,0.7223384210305627,1,0.022213464792351,0.015184309039507753
00002,1.7084164357085418,0.6218126363311104,1,0.013214342727670471,0.005585873350874404
00003,1.0670660501424853,0.11109573992971349,1,0.04619663286882207,0.03869199373597639
00004,0.5480733752130822,9.872364425320727,1,0.017771379279904298,0.04963274795903986
00005,1.8548021662459584,0.7245257668156228,1,0.016482280642368934,0.01797179032926273
00006,1.4604961402981262,5.902214892210392,1,0.040128192534112275,0.04908357013746076
00007,1.4127386638667059,2.528722377518752,1,0.004700902863839389,0.008682672749683824
00008,0.7388262138327986,7.128429195704282,1,0.0046280334342020295,0.02729909407846008
00009,1.7816245787558285,0.23377791908264423,1,0.027872593578698063,0.0022599136557549
00010,1.0957962953466198,0.8784394727541885,1,0.03456767360781653,0.034661596852467245
00011,0.7933057521601237,1.637351693332301,1,0.03351506223813028,0.04110276579109498
00012,0.752558683444737,6.38886001497439,1,0.01781056400816474,0.0244977871817025
00013,0.5708350165908237,1.2067924230548943,1,0.039494122608540135,0.027298809456714195
00014,1.4432842473218102,0.5435896718191693,1,0.036459040711771515,0.03616988944102703
00015,0.9826874429135666,0.9963147308331014,1,0.045564828309078625,0.03180412757278212
00016,0.923812752262076,0.29632089544756407,1,0.024246537613044114,0.019274539032868188
00017,0.6479669574456639,2.928311530368248,1,0.005522508672013144,0.005009073368483967
00018,1.6470163193783713,6.322066823481905,1,0.0100713836593149,0.002243459053910984
00019,0.4995555318568824,2.2577482905809863,1,0.045981733356356864,0.005228794534344777
00020,1.3303596746317663,1.971645197694597,1,0.01362481579124235,0.048461178916858416
00022,1.1552682129595429,0.7094641988241893,1,0.014572946900044412,0.02368021144858387
00024,0.9270490479108443,0.36298279269960027,1,0.0248695308505476,0.03689777252396283
00025,1.8544658088905766,5.907371480855966,1,0.028397668645144016,0.029001591185659183
00026,0.49478169660144217,4.4516008145944586,1,0.024413597302201606,0.006827976238141409
00027,1.381189906803599,0.30360208832055824,1,0.025569447211136777,0.0041408252273784085
00028,0.6250302812317569,0.2567427986181344,1,0.01509842129909659,0.025307852069485645
00029,1.8655333208074927,6.183562134587483,1,0.02202546849799915,0.04811575816602022
00030,1.4615942198456058,3.9392140843517938,1,0.03325631611183352,0.025306045298407527
00031,1.6686162052496878,0.11649179039357316,1,0.019012020588866606,0.019406111122187
00032,0.4246296200161225,0.3427227553196475,1,0.027778447492958713,0.011387007635676245
00033,0.9605279391607198,3.6897862574043714,1,0.019155086564840287,0.02275836254204603
00034,1.3396984433385226,2.9476455394971555,1,0.026006494484191928,0.012354291228973335
00035,0.9043365171183783,9.888248729605026,1,0.04989849519632615,0.04767767651378839
00036,1.0320520260046266,6.425406274914511,1,0.022456668884343896,0.02840744655331151
00037,1.4015703247369817,1.7297908087610576,1,0.004751930809501885,0.03458087647523918
00038,1.469600943044851,1.505498491585272,1,0.03546444993508163,0.046271112754181755
00039,1.4150787526668562,0.5352050705329372,1,0.012786678431851458,0.04073316009586284
00040,0.5515455408158281,1.1813406165999059,1,0.015497434035028646,0.028125627195041907
00042,1.834228941763705,0.1485636439907719,1,0.030203472150627964,0.040502679900454426
00045,1.2852969723188585,8.523282532503401,1,0.03247448295488035,0.04432113500930768
00046,1.332465611237584,0.16250104446923858,1,0.041431294605550555,0.03271585287877877
00047,1.3506183183534177,0.23123554171760333,1,0.03305945511401841,0.029192108475012156
00048,1.2645830397538498,0.2833597627109556,1,0.007677734614851835,0.014161504840576121
00049,1.9114468623284813,5.193277949695299,1,0.04499753166803469,0.02626144078019379
00050,0.9804768133106795,6.420178750023891,1,0.04625382554658638,0.04918956046635606
00052,1.9196687530980001,2.8615055473015403,1,0.03530414648846486,0.04299985090284807
00053,1.9883777887587928,7.281193124626574,1,0.03554436145377928,0.030308287435085422
00055,0.6441115740869011,2.7684786972274247,1,0.027639083733661793,0.03425997015608176
00056,0.38150296633082365,1.1931831529654018,1,0.04629929949020843,0.004771274286810483
00057,1.341913158032885,1.4454707953771584,1,0.0046826232000439436,0.04707387222189209
00059,0.5209341064177127,6.81495514719937,1,0.02218810056786783,0.03143104620814664
00060,1.6737783823029684,0.603670331840145,1,0.012187177610204363,0.043346934761185174
00062,0.9505398333520414,4.081292270103708,1,0.01737899204228848,0.04218876412350698
00063,1.2971303203478044,0.2151944339152986,1,0.006700511164391049,0.012298293175322125
00064,1.049058145404899,4.5716936751047745,1,0.03263948878741052,0.03112378097777843
00066,1.4231223092773535,0.23999249235154654,1,0.02200505035530182,0.012124063338617513
00067,1.9522321082553973,2.9852025554605555,1,0.038418799971756325,0.04820730985847328
00068,0.38848069732931706,3.240171781016842,1,0.012916539915986056,0.030817380529161872
00070,1.400471436726141,0.1945568812477001,1,0.03155254500202626,0.041909640946681086
00071,1.183774661784578,3.0577791789617894,1,0.03350206072235546,0.02662412905366318
00072,1.338030989751062,3.60462833983584,1,0.013570696075698208,0.030529783955202033
00073,2.0549352329135053,0.2974924401559852,1,0.040827119916123034,0.0314942198197951
00074,1.6958558729872248,0.7837152442506679,1,0.006662980747835351,0.012488930229510212
00075,0.9860619109080635,8.340836420863255,1,0.020277255837718437,0.006848995745580203
00077,0.6486281335198032,4.685599699904974,1,0.02284484567139241,0.04044700238559199
00078,1.788939735322733,9.545191943267977,1,0.008972192904015913,0.04051037471946031
00079,0.8545459093113186,6.165925063590364,1,0.04368291399181319,0.03913696630325511
00080,0.5795436056753378,0.34206526234410817,1,0.01557875109047809,0.03338618643020941
00081,1.665859887200633,2.661548647148802,1,0.006472761987482864,0.03459164749613566
00082,1.9260355476314954,1.9322304735896367,1,0.004588145847105483,0.007701748905202639
00084,1.311282232669509,0.12671812840392585,1,0.01339596943410899,0.037909442783165465
00085,1.2736051505647743,0.2441514616779791,1,0.0075637957924813565,0.02760521878936619
00086,0.34654853349676884,3.2949334907552617,1,0.03061642620955747,0.041237444804580116
00088,0.5616384749560067,0.4355926311969191,1,0.029742677073215124,0.024983738875206454
00089,1.414182589811429,0.309204996394204,1,0.009755500090726257,0.04764445056591172
00091,1.5652774522600794,1.5526369867596785,1,0.008049480743396523,0.025100493161705296
00092,0.8814770784603707,0.7204144927524604,1,0.011149685171768288,0.009715745850321904
00093,1.4448377520313438,1.3707785547359266,1,0.03841106481473151,0.04423667752804499
00094,0.912363684313047,5.394948678179099,1,0.014045128327145046,0.0404763179708503
00095,1.22819057787375,2.146075289436579,1,0.04064199029685861,0.0360481091136058
00096,1.166145780776007,0.9340830627095472,1,0.010143049278716698,0.024561564678410218
00098,0.40360845197752165,0.3041466654663168,1,0.03963033837927499,0.04588606893692665
00099,0.5206323239980517,3.8372588432873065,1,0.002798701805361862,0.015867234777223765
00100,1.15614892236088,1.3831096535141332,1,0.036526096627196455,0.03235326040666992
00101,1.1822807569995133,0.272913284890493,1,0.02116273929552684,0.011391483378404678
00102,0.7684722066648424,2.794153790258205,1,0.01197408406704304,0.024126556346549893
00103,1.0590247542309559,0.4592732235945941,1,0.010026640422631794,0.004227941672534423
00104,1.8573677353702471,0.1863145783172344,1,0.016745435431013835,0.03519779641421341
00107,1.209662675875053,4.949208388309494,1,0.009978509521880936,0.034649327451319954
00109,0.9147289329316248,0.2654831811764547,1,0.012434852079913678,0.04318445606589526
00110,0.47448315843986494,0.9765335655255568,1,0.016435035844275667,0.02272594025789626
00111,0.892526377080535,0.9218962803062126,1,0.012337745816123312,0.046102960838320425
00112,1.0167000613150547,0.1793166442906691,1,0.01238121031869822,0.023495214656050832
00114,0.6258307034058782,1.6380103942341862,1,0.01753995907298664,0.013556332879792708
00116,1.9492910832790467,10.546222167689582,1,0.01957886193269276,0.025242569380550035
00117,1.2106034880273329,0.11291505260972066,1,0.013351475940619546,0.016631406871829846
00118,1.6897056454163606,0.5572208255639028,1,0.04059292494104746,0.02564680620982824
00121,1.1289860103633182,1.6534999442211926,1,0.03748539258365844,0.00357935080941029
00122,1.2709403288619452,0.15934792339985676,1,0.028164702212347133,0.048978738090639816
00123,0.6709495812923362,1.0083690592806414,1,0.02432063659777109,0.028206474898097363
00125,0.7532639251226178,0.6157345058847568,1,0.03376449692296288,0.047562600863929556
00126,1.372242686813676,0.11235538186006543,1,0.04950834463098917,0.007505366244564135
00127,0.48978505541618833,0.8016085347215995,1,0.03622478844532199,0.019725245976111146
00128,1.6713462034658753,1.1481782660743232,1,0.028158802412804503,0.041442836921355454
00129,0.9886479859464206,7.9084442756509254,1,0.046893908466389744,0.03231332335580839
00131,1.4379136943587756,1.2942902622314973,1,0.01723384774395558,0.008708808803394346
00132,1.9625462386306751,5.206871751880647,1,0.0025637186863102885,0.03900746478473759
00135,1.9016039059855465,0.9250028471570574,1,0.0156353230808831,0.04512850329228774
00136,0.3485716973224092,3.3982970571996476,1,0.004287690930095274,0.04563026685554978
00138,1.57617908914151,1.4341808658047224,1,0.01683611971916494,0.025337658583628388
00139,1.1249217879663875,0.2663722374612215,1,0.002043792341510535,0.01026807584383784
00140,0.4757579252233108,2.4455471210627246,1,0.01865728502892896,0.00889870419920422
00141,0.5688073373610528,6.64628866420928,1,0.02010396754705001,0.007156747623361408
00142,1.2719957360674294,0.5792671248264801,1,0.038584629022304306,0.047648043238911995
00144,0.7031146567926868,9.378108771075704,1,0.011404087503765906,0.009547661900620015
00145,0.42172569478701116,0.26666429389523233,1,0.04381651887844259,0.03837260700874774
00146,1.45617660804916,6.541337702668218,1,0.029114940899433027,0.0264605061170611
00147,0.8279760014096215,0.1565602235666382,1,0.019262962880978618,0.01123711210582325
00148,1.431591191738575,2.042421657366033,1,0.0487446062863902,0.04560528199684958
00149,1.2587707253871452,3.650044509330515,1,0.046334077075646976,0.0480951487139393
00150,0.7517034239525877,0.9802285965109752,1,0.024696222844239883,0.018918753518607626
00151,1.6787303442630994,2.335461676569798,1,0.04445353117085314,0.0023806624222310582
00152,1.4612612891390158,0.21324149081806762,1,0.017524920088793812,0.034386642899223815
00153,1.6533716871591397,8.458492993863407,1,0.026852984537665416,0.046057249087109016
00154,1.701167993657333,1.2315009837420592,1,0.04961659476126298,0.009170354803584583
00155,1.578177930010002,0.18505758669269082,1,0.018585086394430593,0.012423478188963772
00156,0.9849646641010648,8.282838895293391,1,0.020762666178452807,0.01955767600118364
00158,1.8413145543710931,2.1438719387971408,1,0.011344767198699033,0.03162714525043892
00160,0.8066573956176214,1.605877497399897,1,0.01952870537868044,0.011857109055195554
00161,1.8848818301953205,1.745131071308562,1,0.03010315388679974,0.011006240881383444
00162,1.9126776179003588,0.3260192518089845,1,0.029544798271169764,0.028976506560331253
00163,1.266700154233271,0.2540112818440007,1,0.030310228281767514,0.023941959538901457
00164,1.0513329110488354,5.412300558648917,1,0.03804652870056839,0.02611260842757339
00165,0.948842145269708,2.970996888261089,1,0.027462182890376836,0.009715635900762874
00166,0.6774353033363357,3.544066467786593,1,0.018819597759923937,0.003953171080924328
00168,1.8537680041444073,4.2747539728313715,1,0.02760164313629488,0.017973548326591107
00171,1.3713485680591573,0.5328891575127109,1,0.03586311879517178,0.0494425610760017
00172,1.0612660316430722,1.2502293101244375,1,0.017294669878726916,0.004434908160912271
00173,1.5407542477225356,0.4863427108055116,1,0.04775272276809279,0.03460330356454095
00175,0.7481373365056719,0.6111208170764354,1,0.024369129138499125,0.040370234027683916
00176,1.1088309849447477,0.3408529001012739,1,0.016432209735858697,0.04208332643476649
00177,0.8163235593842643,4.483500152011281,1,0.036609910225731665,0.027766349270812153
00179,2.0705685310465416,0.11056812388880043,1,0.029667689301523213,0.03847697564193819
00180,1.2114507463424453,0.506874552621999,1,0.012155876479450965,0.002352904248338621
00181,1.5059942758286826,3.589570306999618,1,0.020067089542805998,0.023907843878959438
00182,1.6924992861972228,0.41869810244626543,1,0.04061901136189314,0.04014147076753636
00183,1.3844723004265707,2.1550860143310824,1,0.0025916453111049387,0.018261561048198212
00184,1.5883266568510117,7.543564276127029,1,0.03196602146441992,0.04209041630953919
00185,1.0711374155749305,0.41875204072549066,1,0.027369287565682222,0.03094620983767983
00186,1.0336011735174675,0.8364692400077166,1,0.0026241109832192125,0.015971786996636143
00187,1.7307842092822316,1.8043510134153777,1,0.0060549797023253015,0.04034860296006467
00188,0.6438345431374402,0.9235751142596369,1,0.028446435677504475,0.005555279345088343
00189,0.5676089510078036,5.874897939808767,1,0.004545292528062758,0.03062838777617282
00190,0.9898841610311264,0.3034055573696346,1,0.02803399750327077,0.033161545336049966
00191,1.2514114095261508,0.2080978618551334,1,0.04410427125712272,0.025842232923025392
00192,1.6875719643414013,3.3787317896030378,1,0.019384961985774565,0.016725414001232244
00193,0.6198800246462512,3.5822213883582408,1,0.019612068324573746,0.007736172307365152
00194,2.0346591039218462,0.10924902166755618,1,0.029456642512456083,0.030676584054635997
00195,1.268412626074146,3.0036563259620377,1,0.002707527383063562,0.03399711680251019
00196,0.758605380029085,1.1630083791638868,1,0.01922611306186669,0.03797407412381437
00197,1.1354939341405266,2.60301097858955,1,0.005176441261650271,0.018072632538002134
00198,0.8023721710306444,0.34344178059965547,1,0.025603992606794593,0.04984238416995825
00199,0.3361009177065218,8.28884788992168,1,0.006823989086490423,0.037201791981929466
00200,0.41306983764285876,2.800515346830119,1,0.012221824950536522,0.049438768580007335
00201,0.8923815305998073,5.778016572874425,1,0.004872427581438377,0.011621725695542056
00202,1.5362644542701347,0.1619714912865686,1,0.036316659858092834,0.04281067501397563
00204,0.7849086268387369,0.17978595406691095,1,0.01196298966761808,0.012217136676718669
00205,0.4215191776488035,7.53687592631703,1,0.028675741366983427,0.04469229153820745
00206,2.065381347588089,1.0481939314993907,1,0.012963460321486332,0.040576296285781466
00207,1.5056276812276457,4.591562878545877,1,0.002952790127937277,0.04337311897425812
