EOS #,M[M_sun],R[km],Pc[dyne cm^-2],nc[fm^-3],nq_max[fm^-3]
00001,1.7564405190379033,14.061743406310372,1.2354833881392242e+35,0.6585358043022813,0.2674523088439591
00002,1.7751139446459674,10.709583270036722,5.5609759675158045e+35,1.2251282357723545,0.2949806686717629
00003,2.9576612536308278,15.358975812249342,3.1896204382161735e+35,0.42408291830955447,0.00016954380499582946
00004,0.7640430013006879,21.61922901127331,5.034510443607273e+33,0.08926469009060388,0.0003442591480483118
00005,2.5329668196906003,13.519084907489274,4.913603643572142e+35,0.6132487469531408,0.003081574181139544
00006,2.2544791067263352,17.82422599657254,4.942347903838772e+34,1.1979758274026184,1.1973623150276784
00007,1.4662315339138854,14.628281967758108,8.586772972105918e+34,0.4121661281243765,0.0052248500131962675
00008,0.7751792468617857,21.064744940988497,1.3897888195857503e+34,0.6302275859040183,0.629943140102148
00009,0.7683662625429345,1297.5411986165905,6.220800511555323e+33,0.5588935708056413,0.00022343965882853323
00010,2.6346789771337398,15.963412653432965,1.7522757915386127e+35,0.3659118075873874,0.003937229814839362
00011,1.8616555039260112,17.50095274782227,4.439288192207856e+34,0.21644478489169838,0.0010876347714991817
00012,0.8424052708864501,17.88290708631474,1.3252259147328352e+34,0.6229965951674081,0.6226256370219425
00013,0.8059650973690101,14.743323097882788,1.7399030358832901e+34,0.39250092828445726,0.1780224791248109
00014,2.976119418648036,15.228722765201985,3.800526712762796e+35,0.4565495906746267,0.0012656795991179536
00015,2.278164183282141,15.181355898847334,1.314001906994535e+35,0.3659118075873874,0.00962137569703678
00016,2.4825219887034327,13.780309127848124,3.568844618037387e+35,0.7324499207404139,0.2511937383482591
00017,0.5676613967549548,17.28548178440754,1.4420746555149007e+34,0.3366023666120338,0.17744297940212725
00018,0.5260410960410254,13.076142001271556,3.282317270152088e+34,0.4695567486015126,0.009687566329747746
00019,0.9913152083476734,9.178543663999259,3.533692645223088e+35,1.6000000000000005,1.2173068542019563
00020,2.722624763133341,19.29082848573358,6.595284453017889e+34,1.030921979856177,1.0305382583976912
00022,2.4236506306313585,15.788248498453958,1.6988329777665687e+35,0.38632038457484996,0.001587615567807318
00024,2.8323723709269024,16.609321153185725,1.9685701109755605e+35,0.3563063280179389,0.0013165797075355857
